App	KeyStrokes	MouseClicks	Duration
ms-teams	530	130	403.4261237
chrome	286	198	592.9190231
explorer	99	444	5494.8896161
revit	1476	1612	2397.4313881
rhino	20	85	175.7685553
rhino_en-us_7.38.24338.17001	0	0	54.548906
olk	214	67	116.1393614
winword	333	71	94.048036
rhiexec	0	0	3.4031642
notepad++	10	3	10.6350412
snippingtool	0	12	34.267477
photos	14	1	5.3993968
excel	45	89	97.570594
acrobat	0	1	1.7661554
msedgewebview2	0	0	5.7793428
