App	Duration	KeyStrokes	MouseClicks	StartTime	EndTime	SwithTo
30	chrome	166.0457045	84	61	2025-07-10 10:51:52	2025-07-10 10:54:39	chrome > ms-teams
31	ms-teams	16.5154514	0	1	2025-07-10 10:54:39	2025-07-10 10:54:55	ms-teams > chrome
32	chrome	60.2043523	8	16	2025-07-10 10:54:55	2025-07-10 10:55:55	chrome > rhino
33	rhino	23.5849275	0	2	2025-07-10 10:55:55	2025-07-10 10:56:19	rhino > explorer
34	explorer	3.7314701	0	3	2025-07-10 10:56:19	2025-07-10 10:56:23	explorer > rhino
35	rhino	4.4271348	1	4	2025-07-10 10:56:23	2025-07-10 10:56:27	rhino > explorer
36	explorer	17.2285639	0	14	2025-07-10 10:56:27	2025-07-10 10:56:44	explorer > rhino
37	rhino	17.0440275	0	20	2025-07-10 10:56:44	2025-07-10 10:57:01	rhino > explorer
38	explorer	14.0415162	0	19	2025-07-10 10:57:01	2025-07-10 10:57:15	explorer > rhino
39	rhino	0.9363123	0	1	2025-07-10 10:57:15	2025-07-10 10:57:16	rhino > explorer
40	explorer	0.017393	0	0	2025-07-10 10:57:16	2025-07-10 10:57:16	explorer > rhino
41	rhino	0.4276844	0	1	2025-07-10 10:57:16	2025-07-10 10:57:17	rhino > explorer
42	explorer	0.1132603	0	0	2025-07-10 10:57:17	2025-07-10 10:57:17	explorer > rhino
43	rhino	1.0733611	0	1	2025-07-10 10:57:17	2025-07-10 10:57:18	rhino > explorer
44	explorer	0.0384978	0	0	2025-07-10 10:57:18	2025-07-10 10:57:18	explorer > rhino
45	rhino	0.3670988	0	0	2025-07-10 10:57:18	2025-07-10 10:57:18	rhino > explorer
46	explorer	0.0229798	0	0	2025-07-10 10:57:18	2025-07-10 10:57:18	explorer > rhino
47	rhino	4.836665	0	3	2025-07-10 10:57:18	2025-07-10 10:57:23	rhino > explorer
48	explorer	1.0714059	0	0	2025-07-10 10:57:23	2025-07-10 10:57:24	explorer > rhino_en-us_7.38.24338.17001
49	rhino_en-us_7.38.24338.17001	54.548906	0	0	2025-07-10 10:57:24	2025-07-10 10:58:19	rhino_en-us_7.38.24338.17001 > explorer
50	explorer	80.9575739	19	63	2025-07-10 10:58:19	2025-07-10 10:59:40	explorer > ms-teams
51	ms-teams	0.3719985	0	0	2025-07-10 10:59:40	2025-07-10 10:59:40	ms-teams > explorer
52	explorer	4.1063913	1	5	2025-07-10 10:59:40	2025-07-10 10:59:44	explorer > ms-teams
53	ms-teams	1.230168	0	1	2025-07-10 10:59:44	2025-07-10 10:59:45	ms-teams > explorer
54	explorer	0.0922768	0	2	2025-07-10 10:59:45	2025-07-10 10:59:46	explorer > chrome
55	chrome	40.9662958	24	9	2025-07-10 10:59:46	2025-07-10 11:00:26	chrome > explorer
56	explorer	21.5107292	0	7	2025-07-10 11:00:26	2025-07-10 11:00:48	explorer > ms-teams
57	ms-teams	0.4087643	0	0	2025-07-10 11:00:48	2025-07-10 11:00:48	ms-teams > explorer
58	explorer	2.0376122	0	3	2025-07-10 11:00:48	2025-07-10 11:00:50	explorer > ms-teams
59	ms-teams	11.4354773	0	3	2025-07-10 11:00:50	2025-07-10 11:01:02	ms-teams > olk
60	olk	26.9564488	20	20	2025-07-10 11:01:02	2025-07-10 11:01:29	olk > ms-teams
61	ms-teams	0.5121353	0	0	2025-07-10 11:01:29	2025-07-10 11:01:29	ms-teams > explorer
62	explorer	32.4189021	0	6	2025-07-10 11:01:29	2025-07-10 11:02:02	explorer > ms-teams
63	ms-teams	14.2248933	0	4	2025-07-10 11:02:02	2025-07-10 11:02:16	ms-teams > explorer
64	explorer	0.5867771	0	1	2025-07-10 11:02:16	2025-07-10 11:02:17	explorer > chrome
65	chrome	9.3581894	5	5	2025-07-10 11:02:17	2025-07-10 11:02:26	chrome > explorer
66	explorer	5.0673792	0	0	2025-07-10 11:02:26	2025-07-10 11:02:31	explorer > ms-teams
67	ms-teams	0.8289384	0	1	2025-07-10 11:02:31	2025-07-10 11:02:32	ms-teams > explorer
68	explorer	195.7218029	0	2	2025-07-10 11:02:32	2025-07-10 11:05:48	explorer > ms-teams
69	ms-teams	21.8964972	0	3	2025-07-10 11:05:48	2025-07-10 11:06:09	ms-teams > explorer
70	explorer	14.3689502	0	14	2025-07-10 11:06:09	2025-07-10 11:06:24	explorer > chrome
71	chrome	25.5516473	4	11	2025-07-10 11:06:24	2025-07-10 11:06:49	chrome > explorer
72	explorer	27.3471859	2	6	2025-07-10 11:06:49	2025-07-10 11:07:17	explorer > winword
73	winword	51.7399616	304	30	2025-07-10 11:07:17	2025-07-10 11:08:08	winword > explorer
74	explorer	15.8409446	6	10	2025-07-10 11:08:08	2025-07-10 11:08:24	explorer > revit
75	revit	126.9906221	195	90	2025-07-10 11:08:24	2025-07-10 11:10:31	revit > explorer
76	explorer	1.9853339	0	4	2025-07-10 11:10:31	2025-07-10 11:10:33	explorer > chrome
77	chrome	9.0659845	12	1	2025-07-10 11:10:33	2025-07-10 11:10:42	chrome > explorer
78	explorer	0.0482687	0	1	2025-07-10 11:10:42	2025-07-10 11:10:42	explorer > ms-teams
79	ms-teams	28.1319781	0	1	2025-07-10 11:10:42	2025-07-10 11:11:11	ms-teams > chrome
80	chrome	22.5500427	0	5	2025-07-10 11:11:11	2025-07-10 11:11:33	chrome > explorer
81	explorer	17.9851959	0	15	2025-07-10 11:11:33	2025-07-10 11:11:51	explorer > revit
82	revit	34.4013126	0	6	2025-07-10 11:11:51	2025-07-10 11:12:25	revit > rhiexec
83	rhiexec	3.4031642	0	0	2025-07-10 11:12:25	2025-07-10 11:12:29	rhiexec > explorer
84	explorer	0.6797992	0	0	2025-07-10 11:12:29	2025-07-10 11:12:30	explorer > revit
85	revit	0.5900591	0	2	2025-07-10 11:12:30	2025-07-10 11:12:30	revit > chrome
86	chrome	0.4107608	0	0	2025-07-10 11:12:30	2025-07-10 11:12:31	chrome > revit
87	revit	15.3041806	0	8	2025-07-10 11:12:31	2025-07-10 11:12:46	revit > explorer
88	explorer	5.4591411	2	9	2025-07-10 11:12:46	2025-07-10 11:12:51	explorer > revit
89	revit	190.2655691	116	134	2025-07-10 11:12:51	2025-07-10 11:16:02	revit > explorer
90	explorer	1.978869	2	1	2025-07-10 11:16:02	2025-07-10 11:16:04	explorer > revit
91	revit	64.2647993	6	35	2025-07-10 11:16:04	2025-07-10 11:17:08	revit > explorer
92	explorer	1.1672936	0	0	2025-07-10 11:17:08	2025-07-10 11:17:09	explorer > revit
93	revit	9.2751439	0	2	2025-07-10 11:17:09	2025-07-10 11:17:18	revit > chrome
94	chrome	4.1939045	13	1	2025-07-10 11:17:18	2025-07-10 11:17:22	chrome > rhino
95	rhino	0.8510742	0	0	2025-07-10 11:17:22	2025-07-10 11:17:23	rhino > chrome
96	chrome	0.0830206	0	1	2025-07-10 11:17:23	2025-07-10 11:17:23	chrome > rhino
97	rhino	2.3479982	0	0	2025-07-10 11:17:23	2025-07-10 11:17:26	rhino > chrome
98	chrome	0.6224965	0	0	2025-07-10 11:17:26	2025-07-10 11:17:26	chrome > rhino
99	rhino	1.2366479	0	0	2025-07-10 11:17:26	2025-07-10 11:17:28	rhino > chrome
100	chrome	98.0648295	15	25	2025-07-10 11:17:28	2025-07-10 11:19:06	chrome > explorer
101	explorer	15.1965616	0	10	2025-07-10 11:19:06	2025-07-10 11:19:21	explorer > ms-teams
102	ms-teams	18.766482	149	10	2025-07-10 11:19:21	2025-07-10 11:19:40	ms-teams > explorer
103	explorer	2.3819247	2	3	2025-07-10 11:19:40	2025-07-10 11:19:42	explorer > rhino
104	rhino	2.7513472	0	3	2025-07-10 11:19:42	2025-07-10 11:19:45	rhino > explorer
105	explorer	1.536143	0	1	2025-07-10 11:19:45	2025-07-10 11:19:46	explorer > rhino
106	rhino	2.5924145	0	0	2025-07-10 11:19:46	2025-07-10 11:19:49	rhino > explorer
107	explorer	4.597213	0	10	2025-07-10 11:19:49	2025-07-10 11:19:53	explorer > rhino
108	rhino	52.434405	0	10	2025-07-10 11:19:53	2025-07-10 11:20:46	rhino > explorer
109	explorer	39.1020621	0	21	2025-07-10 11:20:46	2025-07-10 11:21:25	explorer > rhino
110	rhino	8.3660501	0	9	2025-07-10 11:21:25	2025-07-10 11:21:33	rhino > explorer
111	explorer	0.7552697	0	1	2025-07-10 11:21:33	2025-07-10 11:21:34	explorer > rhino
112	rhino	2.2294539	0	2	2025-07-10 11:21:34	2025-07-10 11:21:36	rhino > explorer
113	explorer	0.1598041	0	0	2025-07-10 11:21:36	2025-07-10 11:21:37	explorer > rhino
114	rhino	1.5234109	0	1	2025-07-10 11:21:37	2025-07-10 11:21:38	rhino > explorer
115	explorer	0.0418701	0	0	2025-07-10 11:21:38	2025-07-10 11:21:38	explorer > rhino
116	rhino	0.3782688	0	0	2025-07-10 11:21:38	2025-07-10 11:21:38	rhino > explorer
117	explorer	2.1634262	0	1	2025-07-10 11:21:38	2025-07-10 11:21:41	explorer > rhino
118	rhino	48.0566013	19	28	2025-07-10 11:21:41	2025-07-10 11:22:29	rhino > explorer
119	explorer	0.0608605	0	2	2025-07-10 11:22:29	2025-07-10 11:22:29	explorer > chrome
120	chrome	35.1831104	12	13	2025-07-10 11:22:29	2025-07-10 11:23:04	chrome > explorer
121	explorer	25.8755897	10	33	2025-07-10 11:23:04	2025-07-10 11:23:30	explorer > chrome
122	chrome	6.6737246	0	9	2025-07-10 11:23:30	2025-07-10 11:23:36	chrome > explorer
123	explorer	0.1441502	0	0	2025-07-10 11:23:36	2025-07-10 11:23:37	explorer > rhino
124	rhino	0.3036719	0	0	2025-07-10 11:23:37	2025-07-10 11:23:37	rhino > explorer
125	explorer	4.7352937	0	2	2025-07-10 11:23:37	2025-07-10 11:23:42	explorer > revit
126	revit	26.9118465	0	3	2025-07-10 11:23:42	2025-07-10 11:24:09	revit > explorer
127	explorer	0.0517603	0	1	2025-07-10 11:24:09	2025-07-10 11:24:09	explorer > olk
128	olk	64.6433055	176	35	2025-07-10 11:24:09	2025-07-10 11:25:13	olk > revit
129	revit	40.9380822	6	20	2025-07-10 11:25:13	2025-07-10 11:25:54	revit > explorer
130	explorer	0.4266226	0	1	2025-07-10 11:25:54	2025-07-10 11:25:55	explorer > chrome
131	chrome	22.0530084	6	6	2025-07-10 11:25:55	2025-07-10 11:26:17	chrome > explorer
132	explorer	0.4214871	0	1	2025-07-10 11:26:17	2025-07-10 11:26:17	explorer > notepad++
133	notepad++	10.6350412	10	3	2025-07-10 11:26:17	2025-07-10 11:26:28	notepad++ > revit
134	revit	141.2688993	101	68	2025-07-10 11:26:28	2025-07-10 11:28:49	revit > ms-teams
135	ms-teams	0.0562744	0	1	2025-07-10 11:28:49	2025-07-10 11:28:49	ms-teams > revit
136	revit	230.7186525	111	153	2025-07-10 11:28:49	2025-07-10 11:32:40	revit > explorer
137	explorer	0.0529583	0	0	2025-07-10 11:32:40	2025-07-10 11:32:40	explorer > revit
138	revit	0.6830072	0	0	2025-07-10 11:32:40	2025-07-10 11:32:41	revit > explorer
139	explorer	9.490524	0	4	2025-07-10 11:32:41	2025-07-10 11:32:50	explorer > ms-teams
140	ms-teams	1.5962353	0	1	2025-07-10 11:32:50	2025-07-10 11:32:52	ms-teams > explorer
141	explorer	2.1145643	0	2	2025-07-10 11:32:52	2025-07-10 11:32:54	explorer > ms-teams
142	ms-teams	0.7476884	0	1	2025-07-10 11:32:54	2025-07-10 11:32:54	ms-teams > explorer
143	explorer	5.0926389	0	3	2025-07-10 11:32:54	2025-07-10 11:33:00	explorer > revit
144	revit	6.293992	0	0	2025-07-10 11:33:00	2025-07-10 11:33:06	revit > ms-teams
145	ms-teams	0.6856089	0	1	2025-07-10 11:33:06	2025-07-10 11:33:07	ms-teams > revit
146	revit	0.099663	0	0	2025-07-10 11:33:07	2025-07-10 11:33:07	revit > ms-teams
147	ms-teams	8.9745022	0	2	2025-07-10 11:33:07	2025-07-10 11:33:16	ms-teams > revit
148	revit	1.0868656	0	0	2025-07-10 11:33:16	2025-07-10 11:33:17	revit > ms-teams
149	ms-teams	0.2797055	0	1	2025-07-10 11:33:17	2025-07-10 11:33:17	ms-teams > revit
150	revit	0.1617972	0	0	2025-07-10 11:33:17	2025-07-10 11:33:17	revit > ms-teams
151	ms-teams	30.8814983	0	2	2025-07-10 11:33:17	2025-07-10 11:33:48	ms-teams > revit
152	revit	26.631096	0	13	2025-07-10 11:33:48	2025-07-10 11:34:15	revit > ms-teams
153	ms-teams	0.061651	0	1	2025-07-10 11:34:15	2025-07-10 11:34:15	ms-teams > revit
154	revit	6.1321485	0	6	2025-07-10 11:34:15	2025-07-10 11:34:21	revit > ms-teams
155	ms-teams	19.5426581	0	1	2025-07-10 11:34:21	2025-07-10 11:34:40	ms-teams > revit
156	revit	14.2479374	0	5	2025-07-10 11:34:40	2025-07-10 11:34:55	revit > ms-teams
157	ms-teams	4.0665401	0	5	2025-07-10 11:34:55	2025-07-10 11:34:59	ms-teams > revit
158	revit	1.0220323	0	1	2025-07-10 11:34:59	2025-07-10 11:35:00	revit > ms-teams
159	ms-teams	3.1996627	0	1	2025-07-10 11:35:00	2025-07-10 11:35:03	ms-teams > revit
160	revit	3.1655164	0	2	2025-07-10 11:35:03	2025-07-10 11:35:06	revit > ms-teams
161	ms-teams	0.0604871	0	1	2025-07-10 11:35:06	2025-07-10 11:35:06	ms-teams > revit
162	revit	685.2878881	558	500	2025-07-10 11:35:06	2025-07-10 11:46:31	revit > ms-teams
163	ms-teams	0.0658947	0	1	2025-07-10 11:46:31	2025-07-10 11:46:32	ms-teams > revit
164	revit	295.7529802	211	189	2025-07-10 11:46:32	2025-07-10 11:51:27	revit > ms-teams
165	ms-teams	0.054909	0	1	2025-07-10 11:51:27	2025-07-10 11:51:27	ms-teams > revit
166	revit	2.2255224	0	1	2025-07-10 11:51:27	2025-07-10 11:51:30	revit > explorer
167	explorer	0.0685714	0	1	2025-07-10 11:51:30	2025-07-10 11:51:30	explorer > ms-teams
168	ms-teams	27.9691552	98	6	2025-07-10 11:51:30	2025-07-10 11:51:58	ms-teams > revit
169	revit	5.7049895	0	0	2025-07-10 11:51:58	2025-07-10 11:52:03	revit > explorer
170	explorer	0.1672291	0	1	2025-07-10 11:52:03	2025-07-10 11:52:03	explorer > revit
171	revit	82.699322	43	96	2025-07-10 11:52:03	2025-07-10 11:53:26	revit > explorer
172	explorer	0.6861798	0	1	2025-07-10 11:53:26	2025-07-10 11:53:27	explorer > revit
173	revit	37.7831484	18	27	2025-07-10 11:53:27	2025-07-10 11:54:05	revit > explorer
174	explorer	19.4971416	20	20	2025-07-10 11:54:05	2025-07-10 11:54:24	explorer > revit
175	revit	17.332709	21	14	2025-07-10 11:54:24	2025-07-10 11:54:41	revit > explorer
176	explorer	2.4796153	0	1	2025-07-10 11:54:41	2025-07-10 11:54:44	explorer > snippingtool
177	snippingtool	0.9745314	0	1	2025-07-10 11:54:44	2025-07-10 11:54:45	snippingtool > revit
178	revit	0.2980137	0	0	2025-07-10 11:54:45	2025-07-10 11:54:45	revit > snippingtool
179	snippingtool	2.0163364	0	1	2025-07-10 11:54:45	2025-07-10 11:54:47	snippingtool > revit
180	revit	0.2426963	0	0	2025-07-10 11:54:47	2025-07-10 11:54:47	revit > snippingtool
181	snippingtool	6.0466756	0	1	2025-07-10 11:54:47	2025-07-10 11:54:54	snippingtool > explorer
182	explorer	7.6195496	0	2	2025-07-10 11:54:54	2025-07-10 11:55:01	explorer > snippingtool
183	snippingtool	1.3296138	0	2	2025-07-10 11:55:01	2025-07-10 11:55:02	snippingtool > explorer
184	explorer	2.6759067	0	2	2025-07-10 11:55:02	2025-07-10 11:55:05	explorer > revit
185	revit	2.8326906	0	4	2025-07-10 11:55:05	2025-07-10 11:55:08	revit > explorer
186	explorer	0.0203852	0	0	2025-07-10 11:55:08	2025-07-10 11:55:08	explorer > revit
187	revit	12.2703102	3	9	2025-07-10 11:55:08	2025-07-10 11:55:20	revit > explorer
188	explorer	1.4530841	0	0	2025-07-10 11:55:20	2025-07-10 11:55:22	explorer > revit
189	revit	116.6986963	23	86	2025-07-10 11:55:22	2025-07-10 11:57:18	revit > explorer
190	explorer	6.0059347	0	5	2025-07-10 11:57:18	2025-07-10 11:57:24	explorer > photos
191	photos	5.3993968	14	1	2025-07-10 11:57:24	2025-07-10 11:57:30	photos > explorer
192	explorer	2.047404	0	2	2025-07-10 11:57:30	2025-07-10 11:57:32	explorer > revit
193	revit	40.6622318	3	29	2025-07-10 11:57:32	2025-07-10 11:58:13	revit > snippingtool
194	snippingtool	1.7691663	0	1	2025-07-10 11:58:13	2025-07-10 11:58:14	snippingtool > revit
195	revit	0.2491957	0	0	2025-07-10 11:58:14	2025-07-10 11:58:15	revit > snippingtool
196	snippingtool	2.6784116	0	1	2025-07-10 11:58:15	2025-07-10 11:58:17	snippingtool > revit
197	revit	0.239239	0	0	2025-07-10 11:58:17	2025-07-10 11:58:17	revit > snippingtool
198	snippingtool	8.0610399	0	1	2025-07-10 11:58:17	2025-07-10 11:58:26	snippingtool > revit
199	revit	145.9472027	59	100	2025-07-10 11:58:26	2025-07-10 12:00:51	revit > explorer
200	explorer	0.7632011	0	1	2025-07-10 12:00:51	2025-07-10 12:00:52	explorer > excel
201	excel	2.703048	0	0	2025-07-10 12:00:52	2025-07-10 12:00:55	excel > explorer
202	explorer	10.3917809	0	5	2025-07-10 12:00:55	2025-07-10 12:01:05	explorer > excel
203	excel	91.8942282	45	85	2025-07-10 12:01:05	2025-07-10 12:02:37	excel > explorer
204	explorer	0.0441942	0	1	2025-07-10 12:02:37	2025-07-10 12:02:37	explorer > snippingtool
205	snippingtool	0.9264729	0	1	2025-07-10 12:02:37	2025-07-10 12:02:38	snippingtool > explorer
206	explorer	0.2529713	0	0	2025-07-10 12:02:38	2025-07-10 12:02:38	explorer > snippingtool
207	snippingtool	2.5960795	0	1	2025-07-10 12:02:38	2025-07-10 12:02:41	snippingtool > explorer
208	explorer	0.163012	0	0	2025-07-10 12:02:41	2025-07-10 12:02:41	explorer > snippingtool
209	snippingtool	7.8691496	0	2	2025-07-10 12:02:41	2025-07-10 12:02:49	snippingtool > excel
210	excel	2.9733178	0	4	2025-07-10 12:02:49	2025-07-10 12:02:52	excel > explorer
211	explorer	3.7253021	0	6	2025-07-10 12:02:52	2025-07-10 12:02:56	explorer > winword
212	winword	5.4703218	1	4	2025-07-10 12:02:56	2025-07-10 12:03:01	winword > explorer
213	explorer	10.0988589	2	2	2025-07-10 12:03:01	2025-07-10 12:03:11	explorer > winword
214	winword	1.9140058	0	0	2025-07-10 12:03:11	2025-07-10 12:03:13	winword > explorer
215	explorer	2.27641	2	3	2025-07-10 12:03:13	2025-07-10 12:03:16	explorer > winword
216	winword	5.080462	2	4	2025-07-10 12:03:16	2025-07-10 12:03:21	winword > explorer
217	explorer	3.7410335	2	4	2025-07-10 12:03:21	2025-07-10 12:03:24	explorer > winword
218	winword	11.2526068	6	11	2025-07-10 12:03:24	2025-07-10 12:03:36	winword > explorer
219	explorer	3.2764232	2	5	2025-07-10 12:03:36	2025-07-10 12:03:39	explorer > winword
220	winword	3.2658886	2	3	2025-07-10 12:03:39	2025-07-10 12:03:42	winword > explorer
221	explorer	2.8159236	2	3	2025-07-10 12:03:42	2025-07-10 12:03:45	explorer > winword
222	winword	2.6374819	4	1	2025-07-10 12:03:45	2025-07-10 12:03:48	winword > explorer
223	explorer	2.3408535	2	3	2025-07-10 12:03:48	2025-07-10 12:03:50	explorer > winword
224	winword	2.4517444	4	2	2025-07-10 12:03:50	2025-07-10 12:03:52	winword > explorer
225	explorer	2.5318404	2	3	2025-07-10 12:03:52	2025-07-10 12:03:55	explorer > winword
226	winword	1.9984458	4	1	2025-07-10 12:03:55	2025-07-10 12:03:57	winword > explorer
227	explorer	65.8319799	2	3	2025-07-10 12:03:57	2025-07-10 12:05:03	explorer > ms-teams
228	ms-teams	12.3052315	0	0	2025-07-10 12:05:03	2025-07-10 12:05:15	ms-teams > winword
229	winword	7.7807789	6	14	2025-07-10 12:05:15	2025-07-10 12:05:23	winword > acrobat
230	acrobat	1.7661554	0	1	2025-07-10 12:05:23	2025-07-10 12:05:25	acrobat > winword
231	winword	0.4563384	0	1	2025-07-10 12:05:25	2025-07-10 12:05:25	winword > ms-teams
232	ms-teams	1.1002381	0	0	2025-07-10 12:05:25	2025-07-10 12:05:26	ms-teams > revit
233	revit	3.0144629	2	2	2025-07-10 12:05:26	2025-07-10 12:05:29	revit > ms-teams
234	ms-teams	1.4202654	0	0	2025-07-10 12:05:29	2025-07-10 12:05:31	ms-teams > revit
235	revit	0.3776162	0	0	2025-07-10 12:05:31	2025-07-10 12:05:31	revit > explorer
236	explorer	16.160095	4	25	2025-07-10 12:05:31	2025-07-10 12:05:47	explorer > olk
237	olk	18.5654822	18	8	2025-07-10 12:05:47	2025-07-10 12:06:06	olk > msedgewebview2
238	msedgewebview2	5.7793428	0	0	2025-07-10 12:06:06	2025-07-10 12:06:11	msedgewebview2 > olk
239	olk	5.9037233	0	2	2025-07-10 12:06:11	2025-07-10 12:06:17	olk > explorer
240	explorer	1.5148983	0	0	2025-07-10 12:06:17	2025-07-10 12:06:19	explorer > olk
241	olk	0.0704016	0	2	2025-07-10 12:06:19	2025-07-10 12:06:19	olk > explorer
